class,Precision,Recall,mAP50,mAP50-95
Fall-Detected,0.696,0.795,0.714,0.461
Gloves,0.802,0.923,0.866,0.446
Goggles,0.76,0.959,0.917,0.543
Hardhat,0.805,0.894,0.857,0.479
Ladder,0.924,0.91,0.904,0.748
Mask,0.485,0.78,0.413,0.298
NO-Gloves,0.783,0.777,0.738,0.346
NO-Goggles,0.789,0.885,0.838,0.469
NO-Hardhat,0.607,0.823,0.679,0.439
NO-Mask,0.555,0.705,0.482,0.312
NO-Safety Vest,0.495,0.134,0.079,0.041
Person,0.912,0.902,0.895,0.732
Safety Cone,0.76,0.675,0.623,0.347
Safety Vest,0.625,0.603,0.493,0.358
